State,republican_pct,israel_palestine_salience,china_geopolitics_salience,border_security_salience,fentanyl_drugs_salience,inflation_economy_salience,crypto_markets_salience,tax_policy_salience,student_loans_salience,labor_unions_salience,race_discourse_salience,gender_abortion_salience,climate_environment_salience,felon_conviction_salience,project_2025_salience,authoritarian_rhetoric_salience,covid_vaccine_salience,healthcare_medicare_salience
Pennsylvania,0.4595213849287169,0.33427261270455755,0.2225565916285384,0.3329249660853824,0.14388942814629915,0.46758219410407065,0.1399647417799993,0.39239840549634514,0.23189963826616308,0.6456775387042027,0.6121202666774329,0.2503155089184234,0.20748464769210836,0.6705144628849863,0.6727610561911856,0.22083247778488316,0.1630363634391533,0.09270786893715705
Rhode Island,0.24032586558044805,0.03385322691895776,0.0,0.12457666641269667,0.5058558585528415,0.0,0.22752332186345758,0.07993464805069714,0.6268591885350144,0.2402031849969063,0.46950335154348527,0.06396296420844497,0.5363028035894856,0.29205992324374846,0.4302898616571513,0.005706113726516878,0.22573100250777137,0.2663832046287007
South Carolina,0.6596232179226069,0.3535322642289875,0.3380044310051635,0.5215181379287974,0.5578001240014252,0.3218635253016292,0.17839882482614816,0.8657580316903983,0.4116927087920728,0.16903401223218717,0.5319580204277535,0.35684594899690564,0.607233629968406,0.11044722318475828,0.43985776206091076,0.8373861034616058,0.20554981501277292,0.23075158351005273
South Dakota,0.7920061099796335,0.0,1.0,0.7594813378424498,1.0,0.2922782707231832,0.33723297333157504,0.3201419674006355,0.692995931849073,0.21786384696964461,0.4937334235634313,0.7783748566988583,0.5599770837751263,0.17756375064472218,0.10025618447653534,0.4616300239176225,1.0,0.296687600025686
Tennessee,0.8113543788187373,0.24516912266895685,0.4771046290462777,0.7092438470341124,0.17502388327155538,0.40516250178004776,0.7120139887481552,0.4491154908673659,0.4720794986228188,0.31161131061131625,0.5620947472922794,0.3750929730445222,0.17093168044581994,0.3564423319516779,0.857984021390782,0.2855712842949692,0.10258906288279968,0.13212877622932154
Texas,0.6064154786150714,0.4369067672660231,0.4407742147328388,0.9737105800167,0.31631096244714096,0.5154586595036673,0.43515466592835644,0.49505872495503805,0.3850115090742345,0.17480600133023644,0.6476656903983435,0.42880869027578555,0.2486421344545834,0.385560337294409,0.6028937681793556,0.3286754231759094,0.1446431911462901,0.16577745042332792
Utah,0.6889002036659879,0.3104811466229946,0.2481979865987581,0.4983314086131801,0.10132105168944623,0.8516210186134809,0.3881287291810454,1.0,0.3931152351052458,0.0,0.17029384136484402,0.8722521626811851,0.31180750725320344,0.10447565865701518,0.33690252622637723,0.6875878055249979,0.0,0.08655556745714862
Vermont,0.0,0.663691180780765,0.3470432791211869,0.0,0.31142891918884663,0.6360489517906133,0.5840607740308372,0.4718387060639605,0.0,0.6428046763118272,0.15831289818179015,0.3089879514554942,0.347848701927774,0.922569232477045,0.2219391055833629,0.4679569546325751,0.1348948199240144,0.0
Virginia,0.3495417515274949,0.9547988898066626,0.4038445197355522,0.42498603095783527,0.10018303339718516,0.4166633610295249,0.1807576861653386,0.45467552106577075,0.29610003873288415,0.312780493254037,0.5384577921889411,0.32516084717352706,0.1784460797458561,0.5571526584681252,0.4352832868831249,0.36547098241596154,0.1332199132170502,0.06534172576399828
Washington,0.17031568228105903,0.6855592700873747,0.5093534968384306,0.513118802419598,0.29797598263705444,0.3268435538526706,0.596997959481328,0.9664007694245967,0.49677205856280204,0.7584975456501103,0.2890404581179547,0.5942656971512205,0.6888404374603866,0.7859507915864659,0.6349638611115731,0.2590284462443741,0.1757836184773027,0.21285603304098322
West Virginia,0.9585030549898168,0.38224036080922297,0.4829935159775655,0.6795498171300536,0.13531591463188425,0.16457723696635096,0.05948404007273439,0.15812110737987425,0.6776679472518632,0.6657705702275695,0.5881540612080108,0.24788069410069866,0.29351611905096875,0.6511635086188424,0.3032165014880634,0.24584285347000248,0.23775580573151336,0.05452810281907936
Wisconsin,0.4399185336048881,0.18462556293069055,0.2059635746563757,0.3583445954877871,0.20632379561337036,0.61138115364755,0.13958456143471135,0.731144123554496,0.7538091477446035,0.802144088354091,0.12151980462763173,0.5396522073100242,0.10879274298095563,0.47237705634779165,0.48298512478844385,0.2966740584502357,0.12272869111900715,0.11764221121703965
Wyoming,1.0,0.275724331244389,0.6084885363341895,0.8128678639546607,0.4948232597122658,1.0,0.6609157373680963,0.6782472719104026,0.4892004982194277,0.26501019402309867,0.3668880641660158,0.8357324613059035,1.0,0.18033579049686546,0.4342917691401553,0.25433204268775245,0.09705546299277867,1.0
